id,Valor,SensorId,Time
1,26,<ID_sensor_9>,2022-05-18 12:52:46
2,27,<ID_sensor_4>,2022-05-18 12:22:52
3,65,<ID_sensor_4>,2022-05-18 11:30:04
4,56,<ID_sensor_5>,2022-05-18 11:59:51
5,86,<ID_sensor_6>,2022-05-18 12:16:23
6,23,<ID_sensor_8>,2022-05-18 12:23:31
7,50,<ID_sensor_5>,2022-05-18 11:50:24
8,32,<ID_sensor_7>,2022-05-18 11:51:53
9,76,<ID_sensor_5>,2022-05-18 11:41:24
10,40,<ID_sensor_7>,2022-05-18 12:21:36
11,75,<ID_sensor_7>,2022-05-18 11:48:03
12,26,<ID_sensor_7>,2022-05-18 12:05:20
13,12,<ID_sensor_9>,2022-05-18 12:45:28
14,13,<ID_sensor_9>,2022-05-18 12:54:01
15,81,<ID_sensor_10>,2022-05-18 12:00:20
16,88,<ID_sensor_1>,2022-05-18 12:40:05
17,77,<ID_sensor_10>,2022-05-18 11:41:55
18,100,<ID_sensor_5>,2022-05-18 12:21:25
19,31,<ID_sensor_2>,2022-05-18 12:23:53
20,14,<ID_sensor_8>,2022-05-18 12:08:39
21,37,<ID_sensor_3>,2022-05-18 11:31:12
22,36,<ID_sensor_5>,2022-05-18 12:04:44
23,15,<ID_sensor_2>,2022-05-18 11:43:20
24,64,<ID_sensor_2>,2022-05-18 12:04:09
25,40,<ID_sensor_4>,2022-05-18 12:55:13
26,61,<ID_sensor_3>,2022-05-18 12:04:27
27,22,<ID_sensor_2>,2022-05-18 11:34:09
28,54,<ID_sensor_4>,2022-05-18 11:43:34
29,99,<ID_sensor_6>,2022-05-18 11:41:15
30,15,<ID_sensor_4>,2022-05-18 12:34:59
31,3,<ID_sensor_6>,2022-05-18 11:46:33
32,1,<ID_sensor_3>,2022-05-18 12:13:01
33,81,<ID_sensor_7>,2022-05-18 11:48:42
34,39,<ID_sensor_8>,2022-05-18 11:40:34
35,96,<ID_sensor_1>,2022-05-18 12:26:59
36,15,<ID_sensor_1>,2022-05-18 12:21:43
37,38,<ID_sensor_9>,2022-05-18 12:01:43
38,72,<ID_sensor_6>,2022-05-18 12:32:03
39,56,<ID_sensor_6>,2022-05-18 12:09:49
40,98,<ID_sensor_10>,2022-05-18 11:35:14
41,76,<ID_sensor_5>,2022-05-18 11:35:12
42,41,<ID_sensor_10>,2022-05-18 12:20:07
43,45,<ID_sensor_7>,2022-05-18 11:36:39
44,100,<ID_sensor_7>,2022-05-18 12:58:13
45,43,<ID_sensor_7>,2022-05-18 12:29:04
46,62,<ID_sensor_7>,2022-05-18 12:35:58
47,94,<ID_sensor_10>,2022-05-18 12:14:56
48,40,<ID_sensor_1>,2022-05-18 12:34:15
49,45,<ID_sensor_7>,2022-05-18 11:51:20
50,45,<ID_sensor_5>,2022-05-18 12:42:02
51,66,<ID_sensor_10>,2022-05-18 12:34:44
52,29,<ID_sensor_2>,2022-05-18 12:06:29
53,5,<ID_sensor_6>,2022-05-18 11:46:13
54,85,<ID_sensor_9>,2022-05-18 12:34:43
55,70,<ID_sensor_7>,2022-05-18 12:01:29
56,63,<ID_sensor_9>,2022-05-18 12:24:01
57,34,<ID_sensor_5>,2022-05-18 12:03:04
58,24,<ID_sensor_4>,2022-05-18 11:35:18
59,5,<ID_sensor_8>,2022-05-18 12:52:16
60,52,<ID_sensor_1>,2022-05-18 11:51:14
61,61,<ID_sensor_9>,2022-05-18 12:56:42
62,61,<ID_sensor_10>,2022-05-18 12:58:37
63,86,<ID_sensor_10>,2022-05-18 12:25:02
64,35,<ID_sensor_3>,2022-05-18 12:50:17
65,0,<ID_sensor_9>,2022-05-18 12:28:44
66,28,<ID_sensor_5>,2022-05-18 11:35:46
67,81,<ID_sensor_5>,2022-05-18 12:43:46
68,58,<ID_sensor_7>,2022-05-18 11:32:43
69,94,<ID_sensor_9>,2022-05-18 11:51:47
70,51,<ID_sensor_8>,2022-05-18 12:40:06
71,26,<ID_sensor_3>,2022-05-18 11:59:34
72,25,<ID_sensor_3>,2022-05-18 12:55:43
73,24,<ID_sensor_5>,2022-05-18 11:53:45
74,46,<ID_sensor_8>,2022-05-18 12:38:04
75,7,<ID_sensor_5>,2022-05-18 12:39:51
76,36,<ID_sensor_10>,2022-05-18 12:24:24
77,47,<ID_sensor_2>,2022-05-18 12:02:49
78,23,<ID_sensor_10>,2022-05-18 12:00:09
79,1,<ID_sensor_10>,2022-05-18 12:33:23
80,17,<ID_sensor_3>,2022-05-18 11:53:41
81,23,<ID_sensor_6>,2022-05-18 11:48:17
82,13,<ID_sensor_4>,2022-05-18 11:55:44
83,95,<ID_sensor_4>,2022-05-18 12:25:57
84,36,<ID_sensor_2>,2022-05-18 11:38:30
85,13,<ID_sensor_9>,2022-05-18 12:21:26
86,74,<ID_sensor_10>,2022-05-18 12:38:55
